NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
RC-R,RC-R,EEM2,100.5,15.0,4.4,21.6,4.7,46.6,7.4,77.2
RC-R,RC-R,EEM3,88.6,17.7,4.4,6.8,4.7,46.6,7.6,77.2
RC-R,RC-R,EEM4,70.2,20.6,3.5,6.8,2.6,28.3,7.6,77.2
RC-T,RC-T,DEFAULT,157.3,55.7,4.0,26.8,5.8,57.1,6.9,0.0
RC-T,RC-T,EEM1,122.0,20.6,5.2,25.8,5.8,57.1,6.5,72.0
RC-T,RC-T,EEM2,110.3,8.8,4.5,25.8,5.8,57.1,7.3,72.0
RC-T,RC-T,EEM3,96.0,8.9,4.5,11.3,5.8,57.1,7.3,72.0
RC-T,RC-T,EEM4,72.5,11.7,3.1,11.4,3.2,34.8,7.4,72.0
RS-I1,RS-I1,DEFAULT,197.0,84.6,6.1,40.2,8.3,43.0,9.9,2.8
RS-I1,RS-I1,EEM1,173.3,61.0,6.8,40.0,8.3,43.0,9.4,93.0
RS-I1,RS-I1,EEM2,128.8,14.1,7.5,40.1,8.3,43.0,11.1,93.0
RS-I1,RS-I1,EEM3,104.8,16.8,7.4,13.6,8.3,43.0,11.1,93.0
RS-I1,RS-I1,EEM4,88.7,18.1,5.4,13.6,3.6,32.8,10.2,93.0
RS-I2,RS-I2,DEFAULT,163.4,74.2,5.2,31.2,9.5,29.5,8.7,4.9
RS-I2,RS-I2,EEM1,143.8,55.8,4.7,31.2,9.4,29.5,7.5,70.7
RS-I2,RS-I2,EEM2,106.7,16.8,5.2,31.2,9.4,29.5,9.0,70.7
RS-I2,RS-I2,EEM3,88.1,18.5,5.1,11.0,9.4,29.5,9.0,70.7
RS-I2,RS-I2,EEM4,72.2,19.4,3.7,11.0,4.1,20.4,8.0,70.7
RS-I3,RS-I3,DEFAULT,207.3,91.9,5.5,24.4,10.4,57.6,12.5,4.9
RS-I3,RS-I3,EEM1,167.7,57.0,5.3,23.7,10.3,57.6,8.6,118.4
RS-I3,RS-I3,EEM2,126.3,14.2,4.8,23.7,10.3,57.6,10.6,118.4
RS-I3,RS-I3,EEM3,111.6,16.0,4.8,7.2,10.3,57.6,10.7,118.4
RS-I3,RS-I3,EEM4,91.4,18.0,3.7,7.2,4.7,41.7,11.0,118.4
RS-I4,RS-I4,DEFAULT,153.5,65.5,6.0,32.5,9.1,25.5,9.9,4.9
RS-I4,RS-I4,EEM1,132.0,45.9,5.4,32.4,9.1,25.5,8.3,76.8
RS-I4,RS-I4,EEM2,100.0,11.4,6.2,32.5,9.1,25.5,9.9,76.8
RS-I4,RS-I4,EEM3,80.9,12.5,6.1,12.5,9.1,25.5,10.0,76.8
RS-I4,RS-I4,EEM4,65.8,13.0,4.5,12.5,3.8,17.3,8.8,76.8
RS-S,RS-S,DEFAULT,236.2,97.9,5.4,37.5,7.8,73.6,9.6,0.0
RS-S,RS-S,EEM1,208.2,70.9,5.9,36.5,7.8,73.6,8.8,82.0
RS-S,RS-S,EEM2,158.3,20.1,5.3,36.6,7.8,73.6,10.5,82.0
RS-S,RS-S,EEM3,136.6,24.8,5.4,10.2,7.8,73.6,10.7,82.0
RS-S,RS-S,EEM4,114.4,26.4,4.0,10.2,4.0,55.2,10.5,82.0
