NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
RC-R,RC-R,EEM3,81.0,8.9,6.6,6.6,4.7,46.6,6.8,90.5
RC-R,RC-R,EEM4,61.0,10.6,5.3,6.6,2.6,28.3,6.8,90.5
RC-HR1,RC-HR1,DEFAULT,111.2,18.3,9.1,48.2,4.3,19.2,9.1,1.9
RC-HR1,RC-HR1,EEM1,103.4,8.3,11.2,48.2,4.3,19.2,9.1,45.8
RC-HR1,RC-HR1,EEM2,99.8,2.8,13.2,48.2,4.3,19.2,9.1,45.8
RC-HR1,RC-HR1,EEM3,67.2,6.4,13.0,12.1,4.3,19.2,9.1,45.8
RC-HR1,RC-HR1,EEM4,52.3,7.0,9.4,12.1,1.7,11.0,7.9,45.8
RC-HR2,RC-HR2,DEFAULT,116.2,18.4,9.3,51.8,3.9,19.0,9.9,3.3
RC-HR2,RC-HR2,EEM1,107.9,7.0,12.3,51.8,3.9,19.0,10.0,28.8
RC-HR2,RC-HR2,EEM2,106.3,3.2,14.4,51.8,3.9,19.0,10.1,28.8
RC-HR2,RC-HR2,EEM3,68.8,9.6,14.4,7.8,3.9,19.0,10.2,28.8
RC-HR2,RC-HR2,EEM4,53.6,10.6,10.2,7.9,1.5,10.9,8.6,28.8
RS-I1,RS-I1,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS-S,RS-S,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS-I2,RS-I2,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS-I3,RS-I3,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS-I4,RS-I4,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC-DC,IC-DC,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC-DE,IC-DE,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU-C1,MU-C1,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU-C2,MU-C2,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU-HC,MU-HC,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU-HS,MU-HS,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU-L,MU-L,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU-S1,MU-S1,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU-S2,MU-S2,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU-U1,MU-U1,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU-W,MU-W,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MU-W2,MU-W2,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC-B,CC-B,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC-S1,CC-S1,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC-S2,CC-S2,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC-E1,CC-E1,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC-E2,CC-E2,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC-E3,CC-E3,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC-FD1,CC-FD1,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC-FD2,CC-FD2,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC-FD3,CC-FD3,IAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RC-MR1,RC-MR1,IAL,195.9,38.3,81.8,37.8,3.3,34.7,0.0,39.9
RC-MR2,RC-MR2,IAL,200.3,38.2,92.1,43.7,4.8,21.5,0.0,27.7
RC-MR3,RC-MR3,IAL,200.5,38.9,91.5,43.7,4.8,21.6,0.0,27.7
RC-D,RC-D,IAL,163.9,64.9,24.8,22.1,4.7,47.4,0.0,77.0
RC-ML,RC-ML,IAL,165.4,58.8,24.2,24.5,5.2,52.7,0.0,71.0
RC-T,RC-T,IAL,167.0,52.5,23.7,26.9,5.8,58.1,0.0,65.1
RC-R,RC-R,IAL,163.9,63.9,25.8,22.1,4.7,47.4,0.0,69.1
RC-HR1,RC-HR1,IAL,213.8,38.7,100.4,48.2,4.3,22.2,0.0,20.3
RC-HR2,RC-HR2,IAL,210.4,41.6,90.3,51.8,3.9,22.8,0.0,14.4
