NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
RC-HR2,RC-HR2,EEM2,126.4,0.6,13.7,51.8,4.6,41.7,10.1,26.0
RC-HR2,RC-HR2,EEM3,89.0,6.9,13.7,8.0,4.6,41.7,10.2,26.0
RC-HR2,RC-HR2,EEM4,57.5,8.6,6.7,8.1,1.8,20.5,8.0,26.0
RS-I1,RS-I1,IAL,234.8,81.5,26.4,40.3,8.8,73.0,0.8,104.8
RS-S,RS-S,IAL,235.8,62.5,29.9,37.5,7.8,92.5,1.1,93.8
RS-I2,RS-I2,IAL,209.6,88.7,23.0,31.2,10.0,53.1,0.4,81.1
RS-I3,RS-I3,IAL,226.2,87.3,23.1,24.4,10.5,76.5,0.7,128.5
RS-I4,RS-I4,IAL,207.9,91.8,22.2,32.5,9.7,48.5,0.3,87.1
IC-DC,IC-DC,IAL,6358.2,55.2,3030.9,10.5,31.9,3226.0,0.5,155.4
IC-DE,IC-DE,IAL,21501.0,63.1,10623.2,13.2,24.4,10772.8,0.7,113.9
MU-C1,MU-C1,IAL,238.5,66.1,41.0,37.3,13.0,75.4,0.5,25.0
MU-C2,MU-C2,IAL,216.4,56.9,41.7,33.9,8.0,69.6,0.2,19.9
MU-HC,MU-HC,IAL,214.5,65.1,28.6,45.1,9.1,62.2,0.5,46.2
MU-HS,MU-HS,IAL,243.0,68.6,35.5,41.1,11.4,81.4,0.9,79.6
MU-L,MU-L,IAL,211.8,68.3,23.2,43.7,8.0,63.4,0.5,76.4
MU-S1,MU-S1,IAL,249.7,76.3,28.1,43.5,18.7,69.3,0.7,73.7
MU-S2,MU-S2,IAL,242.1,68.7,27.9,44.2,22.2,61.7,0.6,96.0
MU-U1,MU-U1,IAL,198.5,53.3,40.0,28.3,7.6,64.2,0.1,18.7
MU-W,MU-W,IAL,187.8,70.8,16.0,31.4,7.0,57.3,0.6,81.5
MU-W2,MU-W2,IAL,157.8,83.7,6.2,13.0,8.1,41.0,0.6,118.2
CC-B,CC-B,IAL,239.4,44.3,63.9,18.3,14.7,85.3,0.2,29.3
CC-S1,CC-S1,IAL,301.0,97.6,28.0,25.7,36.4,83.8,1.2,119.4
CC-S2,CC-S2,IAL,388.3,118.0,29.2,25.6,63.7,96.5,1.3,172.6
CC-E1,CC-E1,IAL,232.2,43.5,64.3,12.4,17.0,87.9,0.2,26.3
CC-E2,CC-E2,IAL,317.0,131.8,48.8,20.9,25.6,85.7,0.8,50.0
CC-E3,CC-E3,IAL,316.6,121.7,55.0,23.3,24.5,88.5,0.7,52.7
CC-FD1,CC-FD1,IAL,216.3,79.2,35.5,29.2,12.4,56.7,0.1,8.5
CC-FD2,CC-FD2,IAL,215.9,51.7,50.5,22.9,13.2,70.2,0.2,14.8
CC-FD3,CC-FD3,IAL,201.0,62.2,35.8,29.5,13.5,55.2,0.2,12.2
RC-MR1,RC-MR1,IAL,149.5,30.7,27.2,37.8,5.7,46.3,0.0,37.4
RC-MR2,RC-MR2,IAL,162.1,45.1,23.9,43.7,5.6,41.5,0.0,25.5
RC-MR3,RC-MR3,IAL,161.8,45.6,23.1,43.7,5.6,41.5,0.0,25.5
RC-D,RC-D,IAL,154.1,57.2,22.7,22.1,4.7,47.4,0.0,74.3
RC-ML,RC-ML,IAL,156.4,51.8,22.2,24.5,5.2,52.7,0.0,68.2
RC-T,RC-T,IAL,158.8,46.2,21.7,26.9,5.8,58.2,0.0,62.2
RC-R,RC-R,IAL,154.6,56.5,23.8,22.1,4.7,47.5,0.0,66.5
RC-HR1,RC-HR1,IAL,171.5,52.5,21.0,48.2,5.1,41.6,0.0,18.8
RC-HR2,RC-HR2,IAL,180.1,60.1,18.2,51.8,4.6,41.7,0.0,13.5
